,rooms,type,meters,district,price,price_per_meter,terms_of_transaction,mortgage,floor 1,floor 2,living_area,window_view,repair ,type_of_house,year_at_home,parking,address,hospital_info,eat_info,school_info,average_time,toilet,balcony,elevators,service lift
262,1,квартира,33.0,р-н Приморский,9500000.0,287879.0,свободная продажа,возможна,19.0,25.0,10.0,На улицу,Евроремонт,Монолитный,2018.0,,"Санкт-Петербург, Комендантский просп., 58к1",19,66,9,9.0,1.0,1.0,2,1
263,1,квартира,45.77,р-н Василеостровский,9450000.0,206467.0,свободная продажа,,9.0,14.0,,,Без ремонта,Панельный,2023.0,,"Санкт-Петербург, наб. Миклухо-Маклая, 1к1",0,0,0,26.666666666666668,1.0,1.0,0,0
264,2,квартира,55.0,р-н Василеостровский,9500000.0,172727.0,свободная продажа,возможна,1.0,5.0,35.2,На улицу,Косметический,Кирпичный,1897.0,Наземная,"Санкт-Петербург, 13-я Васильевского острова линия, 62",0,0,0,10.333333333333334,1.0,0.0,0,0
265,1,квартира,47.2,р-н Пушкинский,9500000.0,201271.0,свободная продажа,возможна,1.0,6.0,19.0,Во двор,Евроремонт,,2001.0,Наземная,"Санкт-Петербург, бул. Алексея Толстого, 13к3",10,89,2,19.333333333333332,1.0,0.0,0,0
266,1,квартира,38.0,р-н Василеостровский,9490000.0,249737.0,свободная продажа,возможна,2.0,16.0,19.0,,Без ремонта,Кирпичный,2004.0,,"Санкт-Петербург, ул. Кораблестроителей, 32к3",13,78,3,11.0,0.0,1.0,1,0
267,1,квартира,46.1,р-н Приморский,9500000.0,206074.0,свободная продажа,возможна,19.0,20.0,,На улицу и двор,Косметический,Монолитный,2022.0,,"Санкт-Петербург, Комендантский просп., 65",18,64,9,8.666666666666666,1.0,1.0,3,0
268,1,квартира,39.5,р-н Курортный,9500000.0,240506.0,свободная продажа,возможна,5.0,10.0,16.7,Во двор,Евроремонт,Кирпичный,2017.0,Наземная,"Санкт-Петербург, ул. Гагаринская, 77к1",4,16,0,25.0,1.0,1.0,1,0
269,2,квартира,60.4,р-н Пушкинский,9550000.0,158113.0,свободная продажа,,17.0,25.0,35.2,,Косметический,Монолитный,2022.0,,"Санкт-Петербург, ул. Валдайская, 2к2",8,16,2,7.333333333333333,1.0,2.0,0,0
270,2,квартира,50.6,р-н Московский,9590000.0,189526.0,свободная продажа,возможна,2.0,12.0,34.0,На улицу,Без ремонта,,1970.0,Наземная,"Санкт-Петербург, Варшавская ул., 71",25,142,18,10.0,1.0,0.0,1,0
271,2,квартира,50.4,р-н Красногвардейский,9700000.0,192460.0,альтернатива,возможна,9.0,9.0,31.4,Во двор,Дизайнерский,Панельный,1978.0,,"Санкт-Петербург, ул. Буренина, 1К1",10,58,2,8.666666666666666,1.0,1.0,1,0
272,1,квартира,47.2,р-н Фрунзенский,9690000.0,205297.0,свободная продажа,возможна,2.0,16.0,15.0,На улицу,Евроремонт,Кирпичный,2001.0,Наземная,"Санкт-Петербург, Дунайский просп., 34/16",28,137,4,6.333333333333333,1.0,0.0,1,0
273,1,квартира,34.7,р-н Красносельский,10500000.0,302594.0,свободная продажа,возможна,13.0,13.0,16.3,Во двор,Косметический,Монолитно-кирпичный,2015.0,,"Санкт-Петербург, ул. Адмирала Черокова, 20",11,62,4,12.666666666666666,1.0,1.0,0,0
274,1,квартира,46.4,р-н Выборгский,10490000.0,226078.0,свободная продажа,,9.0,18.0,15.2,На улицу,,Кирпичный,2001.0,,"Санкт-Петербург, просп. Луначарского, 64А",32,112,2,5.333333333333333,1.0,1.0,1,1
